,구별,소계,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,검거율
0,강남구,2780,3,3,15,12,300,225,2411,984,2465,2146,64.88255679630342
1,강남구,2780,10,7,6,6,149,124,1439,666,1819,1559,69.00379783815367
2,강동구,773,4,3,6,8,156,123,2366,789,2712,2248,60.46910755148741
3,강북구,748,7,8,14,13,153,126,1434,618,2649,2348,73.1266149870801
4,관악구,1496,9,8,12,14,320,221,2706,827,3298,2642,58.50275807722616
5,광진구,707,4,4,14,26,240,220,3026,1277,2625,2180,62.734811304789304
6,구로구,1561,8,6,15,11,281,164,2335,889,3007,2432,62.0262132483174
7,금천구,1015,3,4,6,6,151,122,1567,888,2054,1776,73.94869082253372
8,노원구,1265,10,10,7,7,197,121,2193,801,2723,2329,63.70370370370371
9,도봉구,485,3,3,9,10,102,106,1063,478,1487,1303,71.32132132132132
10,동대문구,1294,5,5,13,13,173,146,1981,814,2548,2227,67.90254237288136
11,동작구,1091,5,5,9,5,285,139,1865,661,1910,1587,58.83652430044183
12,마포구,574,8,8,14,10,294,247,2555,813,2983,2519,61.44516569866758
13,서대문구,962,2,2,5,4,154,124,1812,738,2056,1711,64.0109208240258
14,서초구,1930,7,4,8,5,334,193,1982,905,1852,1607,64.8816638775998
15,서초구,1930,1,2,1,1,59,56,653,186,547,491,58.366375892149094
16,성동구,1062,4,4,9,8,126,119,1607,597,1612,1395,63.222156045265045
17,성북구,1464,2,2,2,1,86,71,953,409,1194,1015,66.9646848457756
18,성북구,1464,3,3,3,3,64,53,832,332,1015,840,64.2149191444966
19,송파구,618,11,10,13,10,220,178,3239,1129,3295,2786,60.68161699616405
20,양천구,2034,7,8,13,13,262,191,2096,1260,3207,2718,75.02238137869293
21,양천구,2034,3,5,6,3,120,105,1890,672,2509,2030,62.168727915194346
22,영등포구,904,14,12,22,20,295,183,2964,978,3572,2961,60.49220911606233
23,용산구,1624,5,5,14,14,194,173,1557,587,2050,1704,65.0
24,은평구,1873,2,2,2,1,70,59,819,293,1192,1038,66.81055155875299
25,은평구,1873,1,1,7,5,96,82,1095,418,1461,1268,66.69172932330827
26,종로구,1002,3,3,6,5,115,98,1070,413,1278,1070,64.2799352750809
27,종로구,1002,3,2,5,4,96,63,1114,424,1015,861,60.6359158083296
28,중랑구,660,13,12,11,9,187,148,2135,829,2847,2407,65.56903523974582
