구별,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,살인,강도,강간,절도,폭력,범죄,검거
강남구,0.20049088677787372,0.7142857142857142,0.0,0.41604966975693514,0.7475830830771333,13,21,449,3850,4284,2.0784093538976562,8617
강동구,0.14246467817896388,1.0,0.0,0.09426207085409954,0.3261816773491848,4,6,156,2366,2712,1.5629084263822481,5244
강북구,0.7732426303854875,0.8571428571428572,0.0,0.42413998744576165,1.0,7,14,153,1434,2649,3.054525474974106,4257
강서구,0.3581554759308302,1.0,0.0,0.9999999999999998,0.5444315870959322,7,13,262,2096,3207,2.902587063026762,5585
관악구,0.25255102040816324,1.0,0.0,0.0,0.0,9,12,320,2706,3298,1.2525510204081631,6345
광진구,0.09353741496598636,1.0,0.0,0.3938447421346205,0.3445637603967686,4,14,240,3026,2625,1.8319459174973756,5909
구로구,0.18294720023240615,0.46666666666666656,0.0,0.25415842827874924,0.0901487528849696,8,15,281,2335,3007,0.9939210480627916,5646
금천구,0.28098391674550616,1.0,0.0,0.8834049155065631,0.7453363204505852,3,6,151,1567,2054,2.9097251527026544,3781
노원구,0.7441209986532683,1.0,0.0,0.2017945943287709,0.6357254480484809,10,7,197,2193,2723,2.5816410410305197,5130
도봉구,0.33673469387755095,1.0,0.0,0.48744501092293446,0.8814351386049548,3,9,102,1063,1487,2.7056148434054403,2664
동대문구,0.32700247729149456,1.0,0.0,0.3562656525599106,0.8551444165884661,5,13,173,1981,2548,2.5384125464398712,4720
동작구,0.11027568922305761,0.11111111111111116,0.0,0.16515004804844446,0.34941670069129493,5,9,285,1865,1910,0.7359535490739082,4074
마포구,0.2947383034846591,0.4285714285714286,0.0,0.04257622346137735,0.5084427219598204,8,14,294,2555,2983,1.2743286774772855,5854
서대문구,0.023323615160349837,0.6000000000000001,0.0,0.3440203926515324,0.3647588831926605,2,5,154,1812,2056,1.332102891004543,4029
서초구,0.06683284000623144,0.33333333333333326,0.0,0.3668844867773622,0.8611506598555216,8,9,393,2635,2399,1.6282013199724485,5444
성동구,0.3812763200518301,0.7777777777777777,0.0,0.22293172241124015,0.7538996043403827,4,9,126,1607,1612,2.1358854245812307,3358
성북구,0.41156462585034004,0.6000000000000001,0.0,0.3705535302833005,0.45326721964431194,5,5,150,1785,2209,1.8353853757779526,4154
송파구,0.6428571428571428,0.5384615384615388,0.0,0.14532376108760214,0.5210086027135219,11,13,220,3239,3295,1.8476510451198056,6778
양천구,0.5705782312925168,0.0,0.0,0.16898035678205692,0.09375767615192743,3,6,120,1890,2509,0.8333162642265012,4528
영등포구,0.5517122103078518,0.8181818181818181,0.0,0.08236910228646277,0.3266368081546922,14,22,295,2964,3572,1.7788999389308249,6867
용산구,0.2673048600883652,1.0,0.0,0.24156744571586763,0.3532799434940763,5,14,194,1557,2050,1.8621522492983091,3820
은평구,0.1203589869682812,0.33333333333333326,0.0,0.22284261194129318,0.7986935732037992,3,9,166,1914,2653,1.4752285054467067,4745
종로구,0.22768159396460005,0.6363636363636367,0.0,0.26266424761325036,0.48119529966146324,6,11,211,2184,2293,1.6079047776029505,4705
중구,0.0,0.33333333333333326,0.0,0.10662280084370068,0.9615541048047298,3,9,170,2548,2224,1.4015102389817637,4954
중랑구,1.0,0.6363636363636367,0.0,0.2797477109240374,0.5201623592935931,13,11,187,2135,2847,2.436273706581267,5193
